,Company Name,Industry,CAGR,STDDEV,RiskAdj_CAGR
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.09689429015564821,0.37189927681638446,0.06085937371912572
ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS,0.3043796544311361,0.2522007775277616,0.2276148689199722
AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES,0.11772925242864152,0.33472433262831086,0.07832240697863453
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE,,0.23909176895610937,
BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,0.6725302966947255,0.3586885438532993,0.4313013838760671
BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES,0.3245988843992309,0.33675592970921175,0.21528828530079494
BPCL,Bharat Petroleum Corporation Ltd.,ENERGY,0.20519272829137147,0.35444506426480027,0.1324631785254666
BHARTIARTL,Bharti Airtel Ltd.,TELECOM,0.04693473143561655,0.3194374740777225,0.03194201937930692
INFRATEL,Bharti Infratel Ltd.,TELECOM,,0.3813709357266932,
BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS,0.34436440553020775,0.26660592706053426,0.25255481394717694
CIPLA,Cipla Ltd.,PHARMA,0.016315344435114065,0.25134378233233023,0.01221458405473776
COALINDIA,Coal India Ltd.,METALS,,0.28352910233996315,
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA,0.0962237974728346,0.2598531923207167,0.07121973652229642
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE,0.3755541002140814,0.3377139788469668,0.2487242307584915
GAIL,GAIL (India) Ltd.,ENERGY,0.02031918789529863,0.29521320359986414,0.01432069534217994
GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,0.06378803974032166,0.2783399598618887,0.04603327931933196
HCLTECH,HCL Technologies Ltd.,IT,0.2129739694638355,0.2834270263805681,0.15261139060223472
HDFCBANK,HDFC Bank Ltd.,FINANCIAL SERVICES,0.21056168824141763,0.21771466677490933,0.16471932045037505
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE,0.03793428836455304,0.2789987732206894,0.02735066844784287
HINDALCO,Hindalco Industries Ltd.,METALS,-0.03972631308029628,0.3957334101339863,-0.02400528373298025
HINDUNILVR,Hindustan Unilever Ltd.,CONSUMER GOODS,0.23573242396063576,0.2339158909053158,0.18059086399461402
HDFC,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,0.1392146884047989,0.2849821511252149,0.0995409870349728
ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES,0.14777617963126044,0.3282734939087443,0.09926517682722037
ITC,ITC Ltd.,CONSUMER GOODS,0.09497106360695362,0.24654140153836093,0.07155676447970645
IOC,Indian Oil Corporation Ltd.,ENERGY,0.1217566459914845,0.3265896288586376,0.08199218816605305
INDUSINDBK,IndusInd Bank Ltd.,FINANCIAL SERVICES,0.12748989361557594,0.33974705342756817,0.08417557791788988
INFY,Infosys Ltd.,IT,0.1547749201015256,0.2770068836259874,0.11190120182074081
JSWSTEEL,JSW Steel Ltd.,METALS,0.1442318436075105,0.3933352262874748,0.08750037876429069
KOTAKBANK,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,0.19586566174867337,0.27072149655259464,0.14284061667680822
LT,Larsen & Toubro Ltd.,CONSTRUCTION,0.031858001177003104,0.28781159816073204,0.022688898944043356
M&M,Mahindra & Mahindra Ltd.,AUTOMOBILE,0.03320307925260124,0.28653308314568177,0.023689298584422987
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILE,0.129265294494451,0.2750853497357009,0.09370630574975658
NTPC,NTPC Ltd.,ENERGY,-0.05439403756469696,0.2509418157925276,-0.04074429900992495
NESTLEIND,Nestle India Ltd.,CONSUMER GOODS,0.3917310129450422,1.1428343958889908,-0.05595266258498755
ONGC,Oil & Natural Gas Corporation Ltd.,ENERGY,-0.07009248708917559,0.30664940543197144,-0.04859866759803176
POWERGRID,Power Grid Corporation of India Ltd.,ENERGY,0.053915648706112984,0.22324375012948822,0.04187931709829624
RELIANCE,Reliance Industries Ltd.,ENERGY,0.07254117462936227,0.2686162606076238,0.05305543556033835
SHREECEM,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,0.25244891116745016,0.28348918136486534,0.18088237600413812
SBIN,State Bank of India,FINANCIAL SERVICES,0.07915917984294651,0.35934642962334423,0.05071361119447149
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMA,0.10677659363651526,0.2961313597167244,0.07515669577701387
TCS,Tata Consultancy Services Ltd.,IT,0.19304720541110476,0.25253660394786215,0.144295719754959
TATAMOTORS,Tata Motors Ltd.,AUTOMOBILE,-0.056978679416379685,0.4139082424842972,-0.03339473436006977
TATASTEEL,Tata Steel Ltd.,METALS,-0.054484177419363844,0.3633581599749805,-0.03468690696451342
TECHM,Tech Mahindra Ltd.,IT,0.10118961046336739,0.2998547324187477,0.07084742689431704
TITAN,Titan Company Ltd.,CONSUMER GOODS,0.31397655726192975,0.34293437868996013,0.2063032016740972
UPL,UPL Ltd.,FERTILISERS & PESTICIDES,0.11783924541637991,0.35922787429989256,0.0755081037763504
ULTRACEMCO,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,0.1303523208338524,0.2679258271061567,0.0954275674592354
VEDL,Vedanta Ltd.,METALS,-0.13007526596068086,0.4330867860244019,-0.0737413870845003
WIPRO,Wipro Ltd.,IT,0.04168724603595897,0.24913202911452284,0.03130161784282416
ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,0.02860032414291136,0.38239769429783005,0.017663626134491496
^NSEI,Nify50,Index,0.046761416261837496,0.1608586583822183,0.03923943757790587
