,Company Name,Industry,CAGR,STDDEV,RiskAdj_CAGR
ADANIPOWER,Adani Power Ltd.,ENERGY,-0.12017017605734925,0.4789562183125939,-0.06261392297896264
AMARAJABAT,Amara Raja Batteries Ltd.,AUTOMOBILE,0.20090663331153324,1.2536925786898827,-0.05096852188070556
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,0.14808425855501262,0.34252849470521385,0.09736118038262646
APOLLOTYRE,Apollo Tyres Ltd.,AUTOMOBILE,0.06797527981056728,0.43513214018577817,0.03839705082686802
BALKRISIND,Balkrishna Industries Ltd.,AUTOMOBILE,0.34050288772972626,0.7111580550719486,0.09835151634547205
BANKINDIA,Bank of India,FINANCIAL SERVICES,-0.20192788202960155,0.4767099812843642,-0.10566684516647888
BATAINDIA,Bata India Ltd.,CONSUMER GOODS,0.3058936077473893,0.3816819516150211,0.18913953855580598
BEL,Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,0.42853871352625106,0.6177211605849031,0.16382128205125393
BHARATFORG,Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,0.09862033746635657,0.39556888333284235,0.059609200700881826
BHEL,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,-0.19127526263182593,0.41573824622828814,-0.1117548203984154
CESC,CESC Ltd.,ENERGY,0.04256411368417279,0.38642816230098515,0.026116141453227687
CANBK,Canara Bank,FINANCIAL SERVICES,-0.11580939049128591,0.44646306370474376,-0.06410477520676738
CASTROLIND,Castrol India Ltd.,ENERGY,0.11742163663883609,0.32751675721942125,0.0789640829794873
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,0.3621325806542659,1.2501200766837806,-0.09057662884294033
CUMMINSIND,Cummins India Ltd.,INDUSTRIAL MANUFACTURING,0.05851161698676055,0.3209516664013797,0.039732216011020484
ESCORTS,Escorts Ltd.,AUTOMOBILE,0.17904195905027875,0.5084045077191366,0.08801621999825197
EXIDEIND,Exide Industries Ltd.,AUTOMOBILE,0.03499413129333284,0.3504914613401076,0.022728987078005025
FEDERALBNK,Federal Bank Ltd.,FINANCIAL SERVICES,0.20013995616200897,0.41365017040205243,0.11735202919133465
GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,-0.12749038447278083,0.5092743413630306,-0.06256280289028582
GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMA,-0.026927263098698195,0.4198605084263059,-0.015621568723549866
HEXAWARE,Hexaware Technologies Ltd.,IT,0.22765450857561453,0.48698120406177803,0.1167910418793694
IDFCFIRSTB,IDFC First Bank Ltd.,FINANCIAL SERVICES,,0.3736565291257498,
IGL,Indraprastha Gas Ltd.,ENERGY,0.31732514655949906,0.3601478770629084,0.2030411686874192
NAUKRI,Info Edge (India) Ltd.,IT,0.2450983537947129,0.38158114566501056,0.15157344315311827
JINDALSTEL,Jindal Steel & Power Ltd.,METALS,-0.1739326007253691,0.5503109366360783,-0.07821558830864218
JUBLFOOD,Jubilant Foodworks Ltd.,CONSUMER GOODS,,0.41551970115277254,
LICHSGFIN,LIC Housing Finance Ltd.,FINANCIAL SERVICES,0.057868093216965955,0.4436529125571861,0.03219474511712826
MRF,MRF Ltd.,AUTOMOBILE,0.2558161747083405,0.35790406696218624,0.16425852538551627
MGL,Mahanagar Gas Ltd.,ENERGY,,0.2903449270437813,
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,0.15864011006728007,0.40724246260952685,0.09403512097483455
MANAPPURAM,Manappuram Finance Ltd.,FINANCIAL SERVICES,,0.5120744928360563,
MFSL,Max Financial Services Ltd.,FINANCIAL SERVICES,0.06910360530338866,0.416219992825045,0.04034130319982749
MINDTREE,MindTree Ltd.,IT,0.21352770574767055,0.38666465881191586,0.13096408825785635
MUTHOOTFIN,Muthoot Finance Ltd.,FINANCIAL SERVICES,,0.41641159429474095,
NBCC,NBCC (India) Ltd.,CONSTRUCTION,,0.7033947891822965,
NATIONALUM,National Aluminium Co. Ltd.,METALS,-0.0820985110105592,0.4488180954837499,-0.04525121365674835
OIL,Oil India Ltd.,ENERGY,-0.004218190611772976,0.28836079024248207,-0.003001829833568702
RBLBANK,RBL Bank Ltd.,FINANCIAL SERVICES,,0.42402711384021063,
RECLTD,REC Ltd.,FINANCIAL SERVICES,0.06158302753767564,0.4233004098067415,0.0355149067438377
SRF,SRF Ltd.,TEXTILES,0.3495548745725747,0.41579433778299546,0.204211936980853
SAIL,Steel Authority of India Ltd.,METALS,-0.18874617613413602,0.46352385172472865,-0.10125782157412724
SUNTV,Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,0.02100842745036613,0.4658333805974662,0.011222000670125468
TVSMOTOR,TVS Motor Company Ltd.,AUTOMOBILE,0.28863594518883406,0.4572768276785797,0.15664941581887562
TATACONSUM,Tata Consumer Products Ltd.,CONSUMER GOODS,,0.9252006788178601,
TATAPOWER,Tata Power Co. Ltd.,ENERGY,-0.08677121122090181,0.3879421150974238,-0.053109004010299846
RAMCOCEM,The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,0.1841217522367411,0.36165125187456887,0.11753389004298447
TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMA,0.2780913888371557,0.3274494622067415,0.18703051311810323
TORNTPOWER,Torrent Power Ltd.,ENERGY,0.008313284668906018,0.45583923652930947,0.004523763332381085
UNIONBANK,Union Bank of India,FINANCIAL SERVICES,-0.18424079313895403,0.47272318151796966,-0.09714589924091356
VOLTAS,Voltas Ltd.,CONSUMER GOODS,0.1369402164576472,0.4406768002651893,0.07659384004146881
^NSEI,Nify50,Index,0.051797422346012034,0.2221230071906271,0.04029202312979285
